deny	catastrophic root delete	rm -rf /
deny	catastrophic home delete	rm -rf ~
deny	unterminated heredoc hiding a delete	cat <<EOF\nsome text\nrm -rf /etc/nixos
deny	quoted path operand	rm -rf "/etc/nixos"
deny	single-quoted path operand	rm -rf '/etc/nixos'
deny	delete inside command substitution	x=$(rm -rf /etc/nixos)
deny	eval-wrapped delete	eval "rm -rf /etc/nixos"
deny	delete AFTER a terminated heredoc	cat <<EOF\nharmless\nEOF\nrm -rf /etc/nixos
deny	credential cmd after a heredoc	cat <<EOF\ndoc\nEOF\nsudo passwd chris
deny	piped into a credential cmd	echo pw | sudo passwd chris
deny	find -delete in a later stage	ls /tmp; find /etc -name x -delete
deny	delete Chris's home	rm -rf /home/chris/Documents
deny	delete a system path	rm -rf /etc/nixos
deny	delete media	rm -rf /mnt/fusion/Movies
deny	delete nix store	rm -rf /nix/store/abc
deny	literal /dev operand	rm /dev/null
deny	delete as root	sudo rm -f /home/claude/x
deny	shred a system file	shred /etc/hosts
deny	raw block device write	echo x > /dev/sda
deny	mkfs	mkfs.ext4 /dev/sdb1
deny	nixos-rebuild switch	sudo nixos-rebuild switch --flake .#gromit
deny	userdel	userdel bob
deny	passwd	passwd chris
deny	push to main	git push origin main
deny	force-push to main	git push --force origin HEAD:main
pass	delete own scratch file	rm -f /home/claude/scratch/a.txt
pass	grep for cred words in a file	grep -ciE 'token|secret|passwd|password' /home/claude/notes.md
pass	echo mentioning passwd	echo "passwd mentions: 3"
pass	heredoc documenting the fences	cat > /home/claude/d.md <<'EOF'\nthe fence denies rm -rf and /etc and passwd\nEOF
pass	system path read in a separate stage	S=$(find /nix/store -name x | head -1); rm -rf /home/claude/tmp
pass	find -exec rm with placeholder	find pkgs/x -name __pycache__ -type d -exec rm -rf {} +
pass	space delete	rm -f /var/lib/silverbullet/Inbox/x.md
pass	dev-null redirect	rm -f foo.txt 2>/dev/null
pass	push to testing	git push origin HEAD:testing
pass	switch to main	git switch main
pass	echo mentioning main	echo "merged to main"
